YEAR	SOURCE	RECEIVER	LN_TRADE
1981	DZA	ARG	16.4456180515406
1981	ARG	DZA	18.3477239699616
1982	DZA	ARG	0.0
1982	ARG	DZA	19.3664892276153
1983	DZA	ARG	0.0
1983	ARG	DZA	18.7867777063978
1984	DZA	ARG	0.0
1984	ARG	DZA	18.7465325615075
1985	DZA	ARG	0.0
1985	ARG	DZA	18.2015969063117
1986	DZA	ARG	0.0
1986	ARG	DZA	18.8851013556684
1987	DZA	ARG	17.1283776774128
1987	ARG	DZA	17.919308158024
1988	DZA	ARG	0.0
1988	ARG	DZA	17.1694813077398
1989	DZA	ARG	0.0
1989	ARG	DZA	17.955695530323
1990	DZA	ARG	0.0
1990	ARG	DZA	17.6772581970174
1991	DZA	ARG	0.0
1991	ARG	DZA	17.5084385610294
1992	DZA	ARG	0.0
1992	ARG	DZA	17.0959076731417
1993	DZA	ARG	15.5282237497243
1993	ARG	DZA	16.0108173199976
1994	DZA	ARG	16.6286309023679
1994	ARG	DZA	17.5673690414297
1995	DZA	ARG	16.8592676402607
1995	ARG	DZA	18.1375626180521
1996	DZA	ARG	17.1419063249973
1996	ARG	DZA	18.427778389638
1997	DZA	ARG	17.4053105553215
1997	ARG	DZA	17.8537218542926
1998	DZA	ARG	17.1429709702362
1998	ARG	DZA	18.3461901890035
1999	DZA	ARG	16.3542165311332
1999	ARG	DZA	18.6591204307554
2000	DZA	ARG	17.3691426623267
2000	ARG	DZA	18.1379937619052
1981	DZA	AUS	0.0
1981	AUS	DZA	16.5451093663751
1982	DZA	AUS	16.5675692959181
1982	AUS	DZA	14.170994922875
1983	DZA	AUS	0.0
1983	AUS	DZA	15.6247374866056
1984	DZA	AUS	0.0
1984	AUS	DZA	17.7010513539583
1985	DZA	AUS	0.0
1985	AUS	DZA	18.1685130533771
1986	DZA	AUS	7.13096160204879
1986	AUS	DZA	18.2153351916964
1987	DZA	AUS	12.9402945675404
1987	AUS	DZA	18.2505056415948
1988	DZA	AUS	11.8499363983956
1988	AUS	DZA	17.9376218357051
1989	DZA	AUS	15.7327757748757
1989	AUS	DZA	17.6126674908724
1990	DZA	AUS	15.6503182603955
1990	AUS	DZA	18.1151649696746
1991	DZA	AUS	0.0
1991	AUS	DZA	17.9318519836727
1992	DZA	AUS	10.9338912690388
1992	AUS	DZA	17.6562090043323
1993	DZA	AUS	15.8684170548984
1993	AUS	DZA	17.4504120072077
1994	DZA	AUS	6.80277705641284
1994	AUS	DZA	16.2375062625188
1995	DZA	AUS	11.0580169045432
1995	AUS	DZA	17.3994111394646
1996	DZA	AUS	11.0117645549139
1996	AUS	DZA	16.5508678057593
1997	DZA	AUS	10.4177643170629
1997	AUS	DZA	16.8169946869023
1998	DZA	AUS	13.1986377320186
1998	AUS	DZA	17.5813168866173
1999	DZA	AUS	11.3781351770281
1999	AUS	DZA	17.8208966042901
2000	DZA	AUS	15.1798299790242
2000	AUS	DZA	17.2593027937021
1981	DZA	AUT	19.8141822983302
1981	AUT	DZA	19.426152584239
1982	DZA	AUT	18.8622255449365
1982	AUT	DZA	19.2241329450223
1983	DZA	AUT	19.570241092789
1983	AUT	DZA	19.3880995096605
1984	DZA	AUT	19.6835540665637
1984	AUT	DZA	19.4853970439939
1985	DZA	AUT	19.3960106893214
1985	AUT	DZA	19.6958996573445
1986	DZA	AUT	18.9826030987879
1986	AUT	DZA	19.7557709842922
1987	DZA	AUT	18.8605408950511
1987	AUT	DZA	19.2543423838593
1988	DZA	AUT	18.8978945519268
1988	AUT	DZA	19.619244676343
1989	DZA	AUT	19.7226151242578
1989	AUT	DZA	19.4284557735766
