date	c1	c2	c1_ctxt_l	c1_ctxt_r	c2_ctxt_l	c2_ctxt_r
20030219	AUS	NZL	strike,to,affect	travellers	air	strike,to,affect
20030219	AUS	NZL	staff,in	strike,for,pay,rise	air	staff,in
20030219	AUS	IRQ		addresses,un,security,council,over	addresses,un,security,council,over	
20030219	AUS	IRQ		to,contribute,10,million,in,aid,to	to,contribute,10,million,in,aid,to	
20030219	GBR	KWT		combat,troops,arriving,daily,in	combat,troops,arriving,daily,in	
20030219	ISR	PSE		forces,push,into	forces,push,into	strip
20030219	NZL	ZWE		imposes,visa,entry,for	imposes,visa,entry,for	
20030219	IRQ	SAU	tells,arabs,war,on	inevitable		tells,arabs,war,on
20030219	GBR	USA		aircraft,attack,sth		
20030219	IRQ	USA	aircraft,attack,sth	target		
20030219	GBR	IRQ		aircraft,attack,sth	aircraft,attack,sth	target
20030220	GBR	IRQ		tells,nationals,to,leave	tells,nationals,to,leave	
20030220	GBR	KWT		tells,nationals,to,leave		
20030220	IRQ	KWT	tells,nationals,to,leave			
20030220	IRQ	USA	hussein,says	doesnt,want,war,with	doesnt,want,war,with	
20030220	IRQ	USA		use,of,human,shields,a,war,crime	use,of,human,shields,a,war,crime	
20030220	IRL	ITA	remain,unchanged,for	clash		remain,unchanged,for
20030220	KEN	NZL	to,discover	fate,on,thursday		to,discover
20030220	GTM	NIC	ruiz,hat,trick,as	rout	rout	
20030220	TUR	USA		stands,firm,against	stands,firm,against	aid,offer
20030220	TUR	USA		still,undecided,over	still,undecided,over	aid,for,gulf,attack
20030220	MMR	USA	invited,to,talks,with	military,junta		invited,to,talks,with
20030220	TUR	USA	tells	time,running,out,for,aid,offer		tells
20030220	GBR	ZWE	bars	reporter,from,world,cup		bars
20030221	GBR	IRQ		pop,awards,will,be,platform,for	pop,awards,will,be,platform,for	
20030221	IND	PAK		jailed,for,smuggling	jailed,for,smuggling	in,suitcase
20030221	AUS	IDN	says	travel,warnings		says
20030221	KEN	NZL		awarded,points,for	awarded,points,for	call,off
20030221	PSE	PSE		killed,at	killed,at	strip,crossing,point
20030221	TUR	USA		delays,vote,on	delays,vote,on	troops
20030221	TUR	USA		digs,heels,in	digs,heels,in	lobbies,for,support,for
20030221	TUR	USA		forces	forces	to,weigh,up,strategies
20030221	IDN	USA	asks	to,improve,human,rights,record		asks
20030221	PHL	USA	boost,troop,numbers,in			boost,troop,numbers,in
20030222	AUS	ZWE		urged,to,abandon	urged,to,abandon	world,cup,match
20030222	IRQ	USA	deputy,says	is,ready,for,dialogue,with	is,ready,for,dialogue,with	
20030222	FRA	IRQ		african,leaders,support	african,leaders,support	inspections
20030222	JPN	USA		backs	backs	campaign,for,fresh
20030222	IRQ	JPN	campaign,for,fresh	vote		backs
20030222	IRQ	USA	campaign,for,fresh	vote	backs	campaign,for,fresh
20030222	CHN	JPN	talks,now,for		powell,leaves	talks,now,for
20030222	IRQ	TUR	poised,for	deal,with		poised,for
20030222	TUR	USA		poised,for	deal,with	
20030222	IRQ	USA	poised,for	deal,with	deal,with	
20030222	USA	USA		duo,ensures,all	duo,ensures,all	semi,finals
20030222	USA	WSM		prosecutors,win,slave,labour,case,in	prosecutors,win,slave,labour,case,in	
20030222	IRQ	USA	stocks,rise,following,positive	comments		stocks,rise,following,positive
20030223	PRK	USA	talks,with		downer,pushes,urgent	talks,with
20030223	IRL	ITA	odriscoll,captures,record,as	downs	downs	
20030223	TUR	USA		signals,go,ahead,for	signals,go,ahead,for	troops
20030223	ESP	USA		draft,second,un,resolution		
20030223	IRQ	USA	intelligence,on		weapons,experts,denounce	intelligence,on
20030224	GBR	IRQ		concerned,about,reports,of	concerned,about,reports,of	missiles
20030224	FRA	GBR		sinks	sinks	
20030224	AUS	ZWE	security,tight,ahead,of			match
20030224	SDN	UGA		allows	allows	troops,to,pursue,rebels
20030224	FJI	SDN	muslim,teacher,deported,from			muslim,teacher,deported,from
20030225	AUS	USA		to,help	to,help	uk,lobby,security,council,downer
20030225	CHN	IRQ		dismisses,latest,draft,resolution,on	dismisses,latest,draft,resolution,on	
20030225	PRK	USA	to,speak,to		former,ambassador,urges	to,speak,to
20030225	BGD	KEN	if	can,play,tests,so,can,we	can,play,tests,so,can,we	coach
20030225	GBR	USA	and	big,brothers	mugabe,criticises	and
20030225	JPN	PRK	fires,missile,into,sea,of			fires,missile,into,sea,of
20030226	NLD	PAK	downs		akram,claims,500,as	downs
20030226	AUS	VNM		marks,30,years,of,diplomacy,with	marks,30,years,of,diplomacy,with	
20030226	AUS	IND		targeting,england,win,against	targeting,england,win,against	
20030226	CHN	PRK		denies,providing	denies,providing	with,missile
20030226	CHN	PRK	downer,calls,on	to,mediate,in	to,mediate,in	crisis
20030226	IND	NLD	captain,writes,off,england	and		captain,writes,off,england
20030226	NLD	PAK		captain,writes,off,england	and	
20030226	IND	PAK	captain,writes,off,england	and	and	
20030226	IRQ	USA	planes,for	war	saudis,agree,to,host	planes,for
20030226	IRQ	USA	un,missile,edict,to	makes,no,difference	makes,no,difference	
20030226	PAK	USA	acknowledges	cooperation,over,al,qaeda		acknowledges
20030226	PRK	USA	resumes,food,aid,to			resumes,food,aid,to
20030226	IRQ	USA	uk,bomb,missile,site,in			uk,bomb,missile,site,in
20030227	CHN	RUS				unite,for,peaceful
20030227	CHN	IRQ			unite,for,peaceful	solution
20030227	IRQ	RUS	unite,for,peaceful	solution		unite,for,peaceful
20030227	IRQ	TUR	closes,border,to	evacuates,embassy		closes,border,to
20030227	TUR	USA		ready,to,stamp,troops,deal,with	ready,to,stamp,troops,deal,with	
20030227	AUS	USA	farmers,eye			farmers,eye
20030227	IRQ	USA		wheat,contract		farmers,eye
20030227	AUS	IRQ	farmers,eye			wheat,contract
20030227	IRQ	USA	has,no,desire,to,govern	special,envoy		has,no,desire,to,govern
20030227	IRQ	USA	moves,to,ease	opposition,fears		moves,to,ease
20030227	USA	YEM	arrests,armed,man,at	run,hospital		arrests,armed,man,at
20030228	AUS	USA		bowlers,blew	bowlers,blew	away
20030228	AUS	NAM		bowlers,blew	away	coach
20030228	NAM	USA	away	coach	bowlers,blew	away
20030228	PAK	USA	mission,in		guards,gunned,down,at	mission,in
20030228	PRK	USA		vows,to,never,yield,to	vows,to,never,yield,to	pressure
20030228	PRK	USA	denies,ignoring	crisis		denies,ignoring
20030301	IRQ	USA		opposition,opposed,to	opposition,opposed,to	
20030301	IRQ	TUR		opposition,opposed,to		agreement
20030301	TUR	USA		agreement	opposition,opposed,to	
20030301	CAN	MEX	and	leaders,call,for,peace		and
20030301	PRK	USA		blames	blames	for,causing,nuclear,rift
20030301	PRK	USA		says	says	spy,flights,prepare,for,war
20030301	JPN	NZL	authorities,to,investigate	student		authorities,to,investigate
20030301	IND	PAK	south,asia,stops,for	v	v	
20030301	IND	PAK	charge,against		ton,up,anwar,leads	charge,against
20030301	IRQ	USA	restates,willingness,to,disarm			restates,willingness,to,disarm
20030302	IRQ	USA	led,war,in		chirac,remains,opposed,to	led,war,in
20030302	IRQ	USA		says,emirates,are	says,emirates,are	agent,for,seeking,saddam
20030302	KWT	USA		nabbed,at	nabbed,at	military,hotel,with,suspect
20030302	IND	PAK	shattered,after	defeat		shattered,after
20030302	AUS	PHL		to,sign,security,agreement		
20030302	TUR	USA		says,still,friends,with	says,still,friends,with	warns
20030302	IRQ	TUR	warns			says,still,friends,with
20030302	IRQ	USA	warns		says,still,friends,with	warns
20030302	CYP	TUR		leader,stands,firm,over		
20030302	TUR	USA	disappointed,troops,cannot,be,deployed,to			disappointed,troops,cannot,be,deployed,to
20030303	DZA	FRA		signs,friendship,memo,with	signs,friendship,memo,with	
20030303	ISR	PSE		push,into	push,into	leaves,7,dead
20030303	TUR	USA	troop,deal,hurts	stocks	spurned	troop,deal,hurts
20030303	TUR	USA		undecided,on,continuing	undecided,on,continuing	platform,debate
20030303	IRQ	USA	unmoved,by	missile,move		unmoved,by
20030303	AUS	NZL	visit,of	pm,incenses	pm,incenses	greens
20030304	IRQ	USA	drops,more,bombs,on	no,fly,zone		drops,more,bombs,on
20030304	TUR	USA	rethinks,war,strategy,after	rejects		rethinks,war,strategy,after
20030304	USA	USA		to,complain,after,n,korean,jets,shadowed	to,complain,after,n,korean,jets,shadowed	spy
20030304	IRQ	USA	uk,push,for	vote,next,week		uk,push,for
20030305	USA	WSM				mp,moves,to,ban,same,sex,marriage
20030305	PHL	USA	arroyo,says,no	combat,for	combat,for	soldiers
20030305	AUS	SAU		appeals,against,public,flogging,in	appeals,against,public,flogging,in	
20030305	AUS	LKA		to,face	to,face	in,sixes
20030305	AUS	LKA		wary,of	wary,of	spinners
20030305	ISR	PSE		arrests,20,demolishes,house,in	arrests,20,demolishes,house,in	
20030305	ISR	PSE		sanctions,choking	sanctions,choking	prosperity
20030305	ISR	PSE		dispute,still,on		
20030305	PSE	USA			dispute,still,on	agenda
20030305	ISR	USA		dispute,still,on	dispute,still,on	agenda
20030305	IRQ	RUS	refuses,to,rule,out,veto,against			refuses,to,rule,out,veto,against
20030305	PRK	USA	will,attack	groundless	south,says,fears	will,attack
20030305	IRQ	USA	poets,rise,up,against,war,on			poets,rise,up,against,war,on
20030305	PRK	USA	sends,24,bombers,as,deterrent,against			sends,24,bombers,as,deterrent,against
20030305	JPN	USA	suspends,spy,flights,over,sea,of			suspends,spy,flights,over,sea,of
20030306	AUS	FJI		to,sign,counter,terrorism,agreement		
20030306	FJI	TMP		soldiers,trap,hoodlums,in	soldiers,trap,hoodlums,in	
20030306	FRA	IRQ	war,no,barrier,to,armstrongs,tour,de			war,no,barrier,to,armstrongs,tour,de
20030306	ISR	PSE		raids	raids	strip,in,retaliation,for,suicide
20030306	CHN	NZL	inclusion,eyes		nbl,defends	inclusion,eyes
20030306	CHN	USA	secrets,to		space,giants,admit,passing	secrets,to
20030306	ISR	PSE	killed,in	raid,on	third	killed,in
20030306	PSE	PSE	third	killed,in	raid,on	
20030306	ISR	PSE	killed,in	raid,on	raid,on	
20030306	PRK	USA	deployment,to	shouldnt,be,over		deployment,to
20030306	IRQ	USA	expels,two,members,of	un,mission		expels,two,members,of
20030306	PAK	ZWE	fans,arrested,at	match		fans,arrested,at
20030307	IRQ	KWT	gaps,in			border,fence,access,for
20030307	IRQ	USA	gaps,in		border,fence,access,for	
20030307	KWT	USA		border,fence,access,for	border,fence,access,for	
20030307	IND	KEN		wont,repeat	wont,repeat	mistake,ganguly
20030307	ISR	PSE		tanks,occupy,northern	tanks,occupy,northern	strip
20030307	IND	KEN	opts,to,bat,against			opts,to,bat,against
20030307	IRQ	KWT	large,holes,made,in			border,fence
20030307	IRQ	TUR	military,heads,to	border		military,heads,to
20030307	GBR	GBR		and	and	in,wooden,spoon,chase
20030308	AUS	IRQ		orders,embassy,spy,home,to	orders,embassy,spy,home,to	
20030308	MMR	USA		claims	claims	black,list,is,unfair
20030308	IND	USA		muslims,march,against	muslims,march,against	threats
20030308	IRQ	NZL		dominates,pms	dominates,pms	trip
20030308	PRK	USA		spokesman,gives	spokesman,gives	ominous,warning
20030309	AUS	NZL		and	and	celebrate,trade,agreement
20030309	AUS	NZL				fail,to,reach,agreement,on
20030309	AUS	IRQ			fail,to,reach,agreement,on	
20030309	IRQ	NZL	fail,to,reach,agreement,on			fail,to,reach,agreement,on
